,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.014484031485781673,0.001842350910399229,0.001842350910399229,0.0015194701863732042,0.001420985585840928,0.0014175835335496002,0.0014175835335496002,0.0014040059302211064,0.000731027796927067,0.0007140436927844522,0.0006936474382037691,0.0006529074216113628,0.0004081599736171423,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.014781603920295639,0.002143223294105311,0.002143223294105311,0.0018939436407035385,0.0018108637520800094,0.0018108637520800094,0.0018108637520800094,0.001794258649468925,0.0008598006840866524,0.000814141463489946,0.0007975142182506118,0.0007103530788682912,0.00036976044985855986,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.01472873067695271,0.0021882400988289708,0.0021882400988289708,0.001888642140741992,0.0018052358517674436,0.0018052358517674436,0.0018052358517674436,0.0017939893910559437,0.0009443326166747839,0.0008744904683491797,0.0008609570577066713,0.0008113609321143228,0.0004958810030984583,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.015927916875933482,0.002349445566224159,0.002349445566224159,0.0020240151214556776,0.001881752015915911,0.0018795858514896004,0.0018795858514896004,0.0018666838964064777,0.0009227275647007472,0.0008645607944754572,0.0008537708694650507,0.0007631662611252814,0.0004225397698621393,10.0,0.1,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.018942328318553654,0.002825650588520862,0.002825650588520862,0.0023808632547259686,0.0022750731314669505,0.0022728692879824793,0.0022728692879824793,0.002253088072899184,0.0011584198683238412,0.0011011386691539703,0.0010945269729357213,0.0009997970938957802,0.000594577411859787,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.01692016381262599,0.0029316283012618973,0.0029316283012618973,0.0025310973078968026,0.0023857493529328274,0.0023857493529328274,0.0023857493529328274,0.0023571335799973327,0.0013538824252622575,0.0013062063565906729,0.0012847400355024598,0.0011750325910052021,0.0007150666610678783,20.0,0.2,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.020878136792662157,0.0038481200171779023,0.0038481200171779023,0.003369484049724742,0.003242465202443474,0.0032349939319605,0.0032349939319605,0.003195139486744614,0.0019488026627967304,0.0018441412102836654,0.0018192759522278423,0.0016149651492415984,0.0009121916976531871,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.023214477724021475,0.0034809591168351393,0.0034809591168351393,0.0029799926403035327,0.00288065208357541,0.00288065208357541,0.00288065208357541,0.0028552545950911996,0.001481943277417529,0.0013942156571879834,0.001389604079274135,0.0012142009023868017,0.0007017571055519681,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.026903905754649463,0.005098776359163422,0.005098776359163422,0.0043062538727560665,0.004164750242502612,0.004161454443181586,0.004161454443181586,0.004135186538864762,0.002473716968262747,0.002306070784921495,0.002273171630043233,0.0018685137731359826,0.0010756343128629695,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.030555449286320823,0.0050511239632587785,0.0050511239632587785,0.0043375542937557415,0.004132889794124165,0.004126882010286719,0.004126882010286719,0.004102811358855953,0.002290891883573784,0.002131296478948404,0.0021102387612515006,0.001845359456490196,0.0010625648130704515,40.0,0.1,1.0
