,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,110.44808217393015,9.076453009051619,7.927645621447458,7.557854003014223,7.557854003014223,7.557854003014223,7.393541164827416,3.4099757681975826,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.7592313819363836,0.3935227043215709,0.36771882980657594,0.3612518785395342,0.3612518785395342,0.3612518785395342,0.3548313339289892,0.2645085466893418,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,68.5827672752021,9.528091892658171,8.205725651236985,7.9162815175821475,7.9162815175821475,7.9162815175821475,7.875049295756382,5.704938341336528,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.2958275814144846,0.44729876880395353,0.38125225736708956,0.3698096066153659,0.3698096066153659,0.3698096066153659,0.36726585353292596,0.2897385821759878,10.0,0.2,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.2253113258392108,0.5383934256101917,0.4695765786401089,0.4582586474352081,0.4582586474352081,0.4582586474352081,0.450709201492364,0.4045208638707115,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,61.694863519862224,13.02026364472311,11.2701427460119,10.938985723275275,10.915267494367995,10.915267494367995,10.868319256255363,9.286298003438807,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,503.27086478232974,126.72000988654555,110.45286504142499,109.29279626717398,109.29279626717398,109.29279626717398,108.13063881607123,100.91737859956837,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,8194.018592753282,1915.143568926649,1671.24030441559,1641.360618033948,1641.360618033948,1641.360618033948,1620.9106549175892,1395.802197084453,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.399774492710999,0.3860918167833735,0.34110598561978905,0.3342726744414569,0.33396150985117057,0.33396150985117057,0.3299227664502155,0.3060075249684286,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,38.93919186648724,9.58376360356863,8.321644720320707,8.129595637434713,8.12321913299437,8.12321913299437,8.03370863123501,7.111410116832795,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5944448327617264,0.17382359874468473,0.14878908159678028,0.14392576727497175,0.14392576727497175,0.14392576727497175,0.14298977965601956,0.12971506835836308,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,16.343190252845265,4.352334480493967,3.744089099872239,3.6439912137253936,3.6439912137253936,3.6439912137253936,3.6062025086771814,3.2657378376015314,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.581797590100742,2.9241844112442794,2.5428311172652855,2.481316156936418,2.481316156936418,2.481316156936418,2.465932037314534,2.2106363598398997,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2778034044603435,0.08769979807164795,0.07570755479468402,0.07357124315712454,0.07357124315712454,0.07357124315712454,0.07281853415395811,0.06296264809276715,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.81785442692015,2.194403436682102,1.8293599155818376,1.7771974493049247,1.7771974493049247,1.7771974493049247,1.7566813256041391,1.5369535361796052,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.892200243957863,1.7946573431385708,1.534224508334991,1.497394642266988,1.496165298159383,1.496165298159383,1.4814214230737413,1.2762586159522387,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.22167852130022644,0.07624252447127523,0.06590089239254357,0.06408780122228669,0.06408780122228669,0.06408780122228669,0.06334626982696462,0.053873820012772,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.17109597667189394,0.059515330030543344,0.0510016222408671,0.04931657881596411,0.049302425672834646,0.049302425672834646,0.04880627979140864,0.04006740666807669,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.581922771748586,1.453994929664348,1.2450626176351198,1.218057192954475,1.218057192954475,1.218057192954475,1.203399303814776,1.0224376676682791,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.1393070432510847,0.0505579325657176,0.04362840672931662,0.04240868495087793,0.04238795119041186,0.04238795119041186,0.041911806880119445,0.034568230174296215,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.613831173849892,1.1978876192764387,1.0304368139919409,1.0021954722279125,1.0019759652227893,1.0019759652227893,0.9916896976346424,0.8309795952365372,100.0,0.1,100.0
